Industry_Energy,Industry_Finance,Industry_Government,Industry_Healthcare,Industry_Manufacturing,Industry_Media,Industry_Retail,Industry_Technology,Industry_Transportation,Country_Canada,Country_Germany,Country_India,Country_Japan,Country_Pakistan,Country_Singapore,Country_UAE,Country_UK,Country_USA,Remote_Work_Possibility_No,Remote_Work_Possibility_Yes,Company_Size_Medium,Company_Size_Startup,Education_Level,Automation_Level,AI_Tool_Usage,Hiring_Trend_2026,Years_Experience,Average_Salary_USD,Job_Growth_2030,Work_Hours_Per_Week,Performance_Score,Job_Satisfaction,Upskilling_Needed,Is_Machine_Learning,Is_Analyst
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3,1,0,2,11,182198,17,49,3.16,2.02,True,0,0
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,2,1,2,1,21,193356,15,52,2.38,3.66,False,0,1
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3,0,0,2,14,182039,22,45,3.98,3.06,False,0,0
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3,2,1,2,13,94184,2,52,3.48,1.59,True,0,0
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,1,0,2,1,3,165779,41,44,4.96,4.8,False,0,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,0,1,0,8,197159,35,39,3.01,1.55,True,0,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,1,1,2,24,84220,20,30,4.26,3.15,False,0,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,0,2,1,19,205341,15,48,2.08,1.54,False,0,0
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,0,2,0,0,15,129385,24,31,3.95,4.02,True,0,0
False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1,2,1,2,19,87138,35,33,2.32,4.72,True,0,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,1,2,1,11,109058,32,41,3.94,4.4,True,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,3,2,0,1,14,166772,27,38,4.49,2.12,True,0,0
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,2,2,2,1,8,157808,7,47,4.84,1.97,True,0,1
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,2,1,1,1,21,107132,20,47,3.28,2.41,False,0,0
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,2,1,1,8,170473,38,46,4.94,2.18,True,1,0
False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,0,1,0,1,18,106581,20,44,4.9,4.76,False,0,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,2,0,2,1,2,44053,25,54,3.79,4.1,True,0,0
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,0,0,0,0,5,56013,25,32,3.23,2.17,False,0,1
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,0,2,0,2,17,193855,-1,59,2.21,4.17,True,0,0
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,0,1,1,2,19,161195,37,40,2.08,4.85,True,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,3,1,2,2,2,102917,16,40,2.31,2.32,True,1,0
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3,0,1,2,13,135952,23,41,3.88,1.81,True,0,0
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,0,0,1,2,17,92730,4,56,4.84,2.99,True,1,0
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1,1,1,2,2,174510,11,59,4.46,3.9,False,0,0
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,3,0,2,2,7,114352,10,53,4.74,2.54,False,0,1
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,0,0,2,0,56309,16,57,2.22,2.35,False,0,0
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1,1,1,2,20,171824,4,53,4.94,2.77,True,0,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1,0,2,0,5,68160,29,57,4.05,4.65,False,0,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,0,2,2,1,14,151963,9,50,2.75,1.8,False,0,0
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0,1,0,0,19,35751,43,58,3.82,1.88,False,0,0
False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,3,0,2,1,5,64448,40,47,3.51,4.32,False,0,1
False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,0,0,1,2,25,207294,6,47,3.11,3.34,False,0,0
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,2,0,1,2,20,189929,-2,31,4.99,1.39,True,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,3,1,0,0,20,171608,29,43,4.07,2.77,True,0,0
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0,0,0,0,1,149201,-2,55,2.21,3.35,True,0,1
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,0,2,1,2,11,75743,10,30,2.16,3.1,False,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,2,0,1,1,14,162078,-7,45,4.06,3.85,False,0,0
False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3,1,1,2,19,195957,19,46,2.3,4.41,True,0,0
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2,1,0,0,21,139049,-1,51,2.27,1.37,True,0,0
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,2,2,2,2,11,140870,22,36,3.45,2.4,True,0,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,2,1,1,2,0,192981,34,54,3.05,4.48,True,0,0
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,2,2,0,1,24,119363,-5,58,2.47,3.7,True,1,0
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,3,1,2,0,16,142699,-8,37,2.16,2.21,True,0,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,1,2,1,1,16,76057,41,41,4.59,2.74,True,0,0
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,1,0,2,25,60192,43,52,3.31,1.97,True,0,0
False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1,1,0,0,24,74074,36,60,2.71,2.02,True,0,1
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,2,0,1,0,4,147677,20,44,4.39,2.41,True,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3,2,1,1,14,53670,40,53,4.73,2.29,True,0,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0,1,2,1,7,217253,18,46,2.48,4.67,False,0,1
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0,2,0,18,96059,12,39,3.99,3.38,True,0,0
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,2,1,1,0,0,209677,1,60,4.84,1.77,False,0,0
False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1,0,2,0,19,168027,0,35,4.43,3.88,True,0,0
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,1,2,1,0,11,169987,18,44,3.51,4.87,False,0,0
False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,1,0,0,24,216489,18,58,4.49,4.79,True,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,2,2,0,0,3,51392,11,55,2.11,3.78,False,0,1
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,2,0,2,1,7,189614,-7,37,4.38,1.25,False,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,0,2,1,21,122488,23,41,3.63,2.56,True,0,0
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2,1,0,1,4,47710,24,40,4.49,4.92,False,0,1
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,3,1,0,1,17,82289,-8,54,2.86,4.46,True,0,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3,1,1,1,11,131356,41,32,2.24,3.18,True,0,1
False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,3,1,2,2,1,141703,29,43,4.94,1.3,True,1,0
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2,0,1,0,12,63090,28,34,4.85,2.78,False,0,1
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,3,1,1,1,17,59739,39,38,2.64,3.78,False,0,0
False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2,2,2,0,9,53013,35,59,2.52,3.04,False,0,1
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,0,1,2,0,2,152527,35,53,3.23,4.29,False,0,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,3,0,0,2,16,174520,23,34,2.49,2.38,True,0,0
False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,0,2,2,18,191068,0,51,4.71,4.37,False,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0,2,1,0,15,99377,8,50,2.73,2.19,False,0,1
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,2,1,1,0,12,189032,22,47,2.73,2.07,True,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,1,1,1,2,24,71864,22,44,3.49,4.78,True,0,1
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,0,0,1,2,3,201510,6,53,3.1,1.2,False,0,0
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,1,1,1,1,3,103327,40,40,4.26,3.41,True,0,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,1,2,2,10,166139,0,42,4.53,3.03,False,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,2,2,2,2,20,110655,4,53,3.44,1.59,False,0,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,0,0,1,23,138255,35,34,3.68,3.1,False,0,1
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1,2,1,1,7,198639,9,37,4.11,2.27,False,0,0
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,0,2,0,2,11,68397,6,53,2.61,4.73,False,0,0
False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,3,1,0,1,10,197233,-4,51,4.89,2.63,True,0,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,1,0,0,0,13,180505,43,42,4.81,4.51,False,0,0
False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,False,1,1,2,1,25,65179,0,53,2.77,1.06,True,0,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,3,0,1,2,10,205441,6,42,4.26,2.21,False,0,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2,2,0,1,22,110427,8,41,2.66,2.91,True,1,0
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,2,0,2,2,2,51461,-7,56,2.61,1.66,True,0,0
False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,0,2,0,2,17,164544,41,39,3.19,3.98,True,0,0
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,2,0,2,1,13,45795,39,50,4.89,4.97,False,0,1
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1,0,1,0,23,61098,38,30,4.02,3.13,False,1,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,0,0,1,0,7,59581,-4,49,3.79,1.98,True,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,2,0,1,2,7,105828,32,46,2.9,3.23,True,0,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,1,0,0,0,9,167484,38,47,4.55,4.43,False,0,1
False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,0,0,2,0,17,116576,-7,38,3.81,4.49,True,0,1
False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,1,2,1,1,12,79813,10,54,3.4,2.23,False,0,0
False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1,2,1,1,0,138509,27,48,2.89,2.32,True,0,0
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,2,2,2,0,5,198216,24,45,4.97,3.1,True,0,0
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,3,2,1,2,11,215380,30,51,3.98,1.03,True,0,0
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,1,2,1,1,7,142872,23,38,4.38,2.49,True,1,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3,0,0,1,17,38305,30,30,2.25,3.58,False,0,1
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,0,2,0,0,21,178579,26,51,4.79,1.06,False,0,0
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,1,0,25,132015,-5,46,2.16,1.93,False,0,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3,2,2,0,5,89805,32,42,2.89,3.85,True,0,1
False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,2,0,2,0,3,31361,1,43,3.66,1.41,False,0,0
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,1,0,1,1,21,52203,-2,38,3.48,1.67,True,0,0
False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,1,1,1,1,9,191656,11,56,4.41,2.76,False,0,1
False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,1,1,1,2,10,113660,42,55,2.34,3.37,True,0,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,1,0,2,2,20,211622,6,51,3.27,1.3,False,0,1
False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0,1,21,170746,0,50,3.69,4.87,False,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,2,0,1,12,210267,27,52,3.03,2.93,True,0,0
False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,3,1,0,1,23,156596,10,32,4.43,1.09,True,0,1
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,2,2,1,5,141770,17,42,3.84,2.8,True,0,0
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,2,0,2,2,6,56673,6,51,4.9,3.39,False,0,0
False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,1,0,1,0,10,107973,9,33,4.08,2.67,False,0,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,2,1,0,0,4,75412,43,44,4.6,2.94,True,0,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,0,1,2,1,25,158109,-8,38,2.87,3.26,False,1,0
False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,3,2,0,0,3,218476,38,37,3.35,4.45,False,0,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,1,0,1,2,25,189976,41,31,3.6,2.29,True,0,0
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,1,0,1,1,22,102698,38,56,3.47,3.51,False,0,0
False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,2,1,24,149195,36,44,4.09,4.18,True,0,0
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,3,2,0,0,25,173474,38,31,3.88,1.07,False,0,0
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0,2,2,0,11,101832,0,31,2.92,2.72,True,0,1
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,2,2,0,1,3,166169,-2,45,3.15,1.41,True,0,0
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,2,2,2,0,23,32221,37,34,4.06,1.35,True,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,2,0,1,1,24,102605,44,57,2.62,3.99,True,0,1
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,2,1,1,0,10,185695,45,56,3.1,4.05,True,0,1
False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3,1,2,0,13,134326,-5,50,3.85,1.33,False,0,0
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1,0,2,2,1,208534,17,33,3.83,3.66,False,0,1
False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,1,2,2,1,11,120886,39,57,4.66,2.34,True,0,0
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,1,1,2,0,11,163898,39,33,4.17,3.96,True,0,1
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,3,0,1,0,7,69343,16,59,2.81,3.29,True,1,0
False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,0,0,2,2,17,151921,13,36,4.35,2.86,True,0,0
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3,1,0,0,23,211786,-4,36,3.26,4.89,True,0,0
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,0,2,2,0,16,127646,42,42,3.7,3.65,False,0,0
False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,1,0,0,1,2,115524,39,54,2.47,2.8,True,0,1
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,1,0,1,0,10,71317,35,37,3.54,2.04,False,0,0
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,1,1,2,0,4,66645,13,51,2.25,4.67,False,0,0
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0,1,1,0,5,116913,42,53,2.09,1.69,False,0,0
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,3,0,0,2,17,191736,-5,38,3.26,3.52,True,0,0
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,2,1,1,2,5,178282,28,37,2.18,3.12,False,0,0
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2,0,2,1,5,44656,27,40,3.08,3.81,True,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,3,2,1,0,0,90980,2,55,4.15,1.24,False,0,0
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,2,0,2,2,10,133703,36,60,4.88,1.7,False,0,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,1,0,0,5,30471,41,60,3.92,4.75,True,0,0
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,2,2,0,2,6,215851,-6,41,4.16,2.54,True,0,1
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,3,1,0,0,2,155695,-9,40,2.22,4.55,True,0,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,3,0,1,1,5,156546,11,36,4.09,3.64,False,0,0
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2,0,0,9,44288,28,45,2.08,3.55,True,0,1
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,2,0,1,0,5,131587,6,44,2.68,3.26,False,1,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3,1,1,2,17,175123,26,58,2.9,4.61,False,0,0
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,1,0,2,2,1,75319,33,43,2.44,2.28,False,1,0
False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3,0,2,2,3,166233,-1,48,4.28,4.7,True,0,0
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,1,0,2,1,8,179952,29,49,3.21,4.56,False,0,0
False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0,1,1,0,7,109444,37,44,4.19,1.75,True,0,0
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,0,0,0,1,5,216009,43,31,3.37,3.82,False,0,0
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,3,1,2,1,18,158132,12,35,4.49,2.14,True,0,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,0,2,0,2,15,100538,1,49,2.76,3.85,False,0,0
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,0,2,2,0,0,166482,43,56,3.94,2.19,False,0,0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1,1,0,1,1,200778,32,40,4.16,4.99,False,0,0
False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,2,0,0,1,16,217005,43,51,2.88,1.51,False,0,0
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,2,1,2,0,14,140224,-7,57,3.74,2.89,True,0,1
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,3,0,0,0,18,69525,10,57,4.34,2.33,False,0,0
False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,3,1,1,0,20,71532,17,60,2.01,3.92,True,0,0
